iter	RMSE
133	70116.79576
134	69972.66436
135	69842.43463
136	69706.94337
137	69567.05533
138	69434.21199
139	69282.72763
140	69149.32412
141	69007.2704
142	68888.49115
143	68770.33752
144	68647.93713
145	68526.49906
146	68403.58481
147	68255.68637
148	68135.28843
149	67998.74133
150	67866.46908
151	67746.59272
152	67628.61782
153	67485.61384
154	67367.02885
155	67242.37147
156	67142.091
157	67022.49516
158	66903.59679
159	66790.03186
160	66700.82492
161	66589.42661
162	66483.48498
163	66377.29188
164	66273.82835
165	66176.56164
166	66064.8913
167	65961.8655
168	65852.90671
169	65745.50842
170	65654.01348
171	65548.08011
172	65448.32239
173	65349.08978
174	65261.28817
175	65168.10964
176	65079.39027
177	64991.83766
178	64904.23856
179	64818.76774
180	64710.17089
181	64617.28355
182	64512.23993
183	64432.11265
184	64352.25734
185	64242.8956
186	64167.23647
187	64091.77561
188	64019.45855
189	63916.55551
190	63838.5621
191	63766.16589
192	63695.94923
193	63625.74468
194	63551.21502
195	63478.61494
196	63413.65325
197	63334.69435
198	63264.18813
199	63205.87674
200	63149.4129
201	63046.17903
202	62976.19924
203	62911.83595
204	62846.49676
205	62766.25602
206	62707.10002
207	62640.66321
208	62572.46474
209	62497.98755
210	62432.95737
211	62368.57051
212	62301.99027
213	62241.81578
214	62163.68871
215	62089.98596
216	61995.86917
217	61938.09691
218	61883.71237
219	61815.70546
220	61758.31216
221	61693.13646
222	61619.7551
223	61569.65212
224	61499.75138
225	61445.85079
226	61396.82944
227	61340.05482
228	61279.44982
229	61217.77222
230	61158.59101
231	61104.63403
232	61055.92372
233	61006.14458
234	60958.6379
235	60912.64944
236	60865.64761
237	60819.69414
238	60761.41517
239	60707.54975
240	60655.19256
241	60590.81589
242	60526.66273
243	60458.29231
244	60399.61741
245	60356.42679
246	60297.60973
247	60250.13893
248	60194.99186
249	60156.97968
250	60109.90915
251	60067.3028
252	60017.8384
253	59975.20214
254	59924.54172
255	59871.35285
256	59826.82942
257	59784.27164
258	59725.29313
259	59679.21352
260	59635.53765
261	59581.75648
262	59549.9597
263	59516.88631
264	59480.9009
265	59439.86982
266	59407.2399
267	59365.66496
268	59303.91063
269	59247.5129
270	59216.77234
271	59166.74015
272	59117.00217
273	59051.19777
274	59000.69019
275	58964.9784
276	58921.65025
277	58894.68423
278	58848.03713
279	58794.30398
280	58758.0769
281	58720.33485
282	58685.2219
283	58634.17812
284	58592.87469
285	58560.18224
286	58531.92516
287	58469.34398
288	58435.39833
289	58389.7777
290	58365.63828
291	58319.45406
292	58288.26318
293	58254.32813
294	58204.38773
295	58168.1626
296	58127.90319
297	58096.73853
298	58045.84642
299	58006.57307
300	57970.89522
301	57924.54138
302	57896.05848
303	57876.15499
304	57850.98467
305	57796.92375
306	57773.5171
307	57744.15519
308	57710.27238
309	57675.94272
310	57645.08246
311	57624.54989
312	57590.97809
313	57564.29654
314	57526.27718
315	57488.9568
316	57456.00288
317	57425.13034
318	57387.65789
319	57356.5502
320	57322.99299
321	57293.78981
322	57270.92765
323	57238.33547
324	57217.03465
325	57193.83721
326	57169.03367
327	57140.35315
328	57113.7936
329	57078.20117
330	57037.13912
331	57016.60887
332	56991.10172
333	56954.01982
334	56925.88282
335	56886.84944
336	56854.0867
337	56830.59234
338	56803.53025
339	56780.83797
340	56759.7947
341	56735.42067
342	56713.34914
343	56692.58429
344	56660.78424
345	56626.75403
346	56589.97776
347	56559.03929
348	56528.60699
349	56488.60217
350	56453.65242
351	56415.94233
352	56379.57355
353	56354.93396
354	56328.41103
355	56302.86468
356	56275.8366
357	56249.53408
358	56228.47358
359	56209.43826
360	56181.50104
361	56158.41017
362	56141.36283
363	56115.1728
364	56098.24806
365	56082.92069
366	56056.50639
367	56020.60088
368	55992.98898
369	55974.62465
370	55954.18931
371	55935.4313
372	55920.89345
373	55896.83222
374	55875.0446
375	55846.70685
376	55826.10345
377	55805.09775
378	55783.9235
379	55761.89741
380	55750.91198
381	55732.19511
382	55716.41318
383	55685.9004
384	55672.21793
385	55648.58079
386	55628.18311
387	55612.35313
388	55599.87627
389	55582.92334
390	55566.64058
391	55536.57431
392	55518.78566
393	55504.60928
394	55473.31718
395	55460.4765
396	55443.33417
397	55424.29614
398	55395.27305
399	55368.55024
400	55353.26679
401	55335.53392
402	55321.88663
403	55301.86583
404	55282.4949
405	55248.53957
406	55230.66487
407	55216.90437
408	55199.04698
409	55177.85025
410	55154.67865
411	55142.69228
412	55111.07491
413	55091.97614
414	55076.98205
415	55055.48919
416	55042.48302
417	55026.41266
418	55012.38658
419	54995.0207
420	54968.54231
421	54952.41157
422	54925.34943
423	54895.14735
424	54885.21327
425	54867.8227
426	54841.80806
427	54827.07667
428	54817.57556
429	54795.46327
430	54776.99379
431	54768.05831
432	54757.9289
433	54742.81373
434	54728.02809
435	54706.6826
436	54696.18305
437	54686.54263
438	54673.4049
439	54655.88969
440	54643.55527
441	54632.54422
442	54619.3257
443	54601.33884
444	54586.64985
445	54574.30524
446	54552.55
447	54533.43609
448	54522.74352
449	54514.32555
450	54497.39872
451	54487.68307
452	54468.98476
453	54444.50678
454	54434.24907
455	54401.07655
456	54385.94595
457	54368.30145
458	54351.00649
459	54339.34879
460	54329.93707
461	54320.4116
462	54298.25018
463	54287.79083
464	54278.59356
465	54262.34013
466	54241.22507
467	54223.15455
468	54206.01331
469	54196.11329
470	54182.79924
471	54169.66326
472	54139.00467
473	54119.95651
474	54102.87922
475	54092.13615
476	54079.63267
477	54066.9993
478	54052.73536
479	54038.25125
480	54020.50887
481	54003.30195
482	53991.55693
483	53973.18708
484	53941.01898
485	53923.88111
486	53898.89525
487	53883.01398
488	53868.43008
489	53851.79181
490	53837.31834
491	53825.60654
492	53811.59955
493	53793.2761
494	53782.83793
495	53760.61323
496	53748.16638
497	53723.7408
498	53712.29563
499	53698.47724
500	53683.77524
501	53674.40511
502	53660.03579
503	53641.76796
504	53630.18117
505	53612.63812
506	53602.76606
507	53581.20961
508	53563.7709
509	53554.93861
510	53546.97797
511	53533.97517
512	53509.43867
513	53496.53995
514	53478.10573
515	53464.72778
516	53445.85499
517	53431.41246
518	53420.51128
519	53408.9134
520	53394.44915
521	53382.61922
522	53363.32506
523	53349.57429
524	53331.56302
525	53310.89306
526	53299.88328
527	53283.38221
528	53271.5112
529	53262.88219
530	53255.60461
531	53244.02193
532	53236.85517
533	53224.73776
534	53212.94109
535	53196.07902
536	53185.68314
537	53173.57238
538	53163.46554
539	53157.44065
540	53146.82269
541	53124.01766
542	53106.72057
543	53096.41889
544	53076.89226
545	53069.54442
546	53046.56946
547	53037.35622
548	53030.38676
549	53014.41815
550	53006.11259
551	52994.55824
552	52987.28627
553	52974.59624
554	52964.83446
555	52955.20357
556	52942.47358
557	52934.82122
558	52922.05479
559	52905.06436
560	52889.50393
561	52872.04908
562	52864.52668
563	52848.56748
564	52833.00387
565	52824.95709
566	52813.54329
567	52805.75724
568	52786.41781
569	52778.44587
570	52759.556
571	52751.37134
572	52727.12468
573	52719.90201
574	52705.1906
575	52687.97129
576	52679.42372
577	52674.40344
578	52666.65514
579	52659.15589
580	52649.07751
581	52639.82497
582	52624.39112
583	52614.15995
584	52598.29364
585	52587.1936
586	52574.36478
587	52569.24657
588	52547.64087
589	52536.93176
590	52524.08068
591	52506.02593
592	52499.65916
593	52478.04389
594	52470.56247
595	52464.18087
596	52454.12352
597	52445.32111
598	52424.37302
599	52415.4094
600	52407.79582
601	52394.43431
602	52384.14561
603	52375.50593
604	52360.70005
605	52344.50012
606	52331.41409
607	52322.55548
608	52313.08616
609	52303.7346
610	52295.92747
611	52279.83873
612	52268.77124
613	52259.8184
614	52244.39436
615	52233.33254
616	52225.85342
617	52213.3291
618	52198.20142
619	52189.62547
620	52180.27171
621	52167.38755
622	52160.47279
623	52149.30554
624	52135.28619
625	52125.66854
626	52110.39027
627	52102.68707
628	52095.78077
629	52088.05284
630	52083.46275
631	52077.57547
632	52068.01745
633	52058.8913
634	52051.98738
635	52040.05019
636	52026.27817
637	52012.37391
638	52002.65284
639	51994.08984
640	51981.4717
641	51970.50741
642	51962.84264
643	51951.28906
644	51936.73532
645	51922.82678
646	51917.35445
647	51909.65934
648	51901.31318
649	51887.06459
650	51883.4922
651	51869.24336
652	51862.9704
653	51847.06389
654	51833.75476
655	51815.00025
656	51799.23516
657	51787.71596
658	51771.45579
659	51764.04042
660	51750.24286
661	51740.22406
662	51733.2764
663	51728.61849
664	51720.34049
665	51712.53578
666	51706.01906
667	51697.36378
668	51677.3788
669	51661.50206
670	51652.70304
671	51643.42063
672	51634.60003
673	51620.03484
674	51608.25632
675	51597.94512
676	51592.4531
677	51580.9489
678	51575.51177
679	51565.01522
680	51553.42787
681	51544.64997
682	51538.81337
683	51531.74795
684	51519.07567
685	51510.29139
686	51494.40333
687	51480.40236
688	51471.11993
689	51464.54094
690	51455.55831
691	51440.74071
692	51433.59385
693	51415.80416
694	51406.97425
695	51384.74982
696	51376.7195
697	51366.60034
698	51353.8414
699	51345.08059
700	51337.80125
701	51325.69621
702	51315.78585
703	51311.46948
704	51302.50049
705	51292.34534
706	51282.41225
707	51269.28108
708	51261.76259
709	51252.35259
710	51245.27815
711	51230.00598
712	51220.86794
713	51202.06424
714	51195.83384
715	51184.85906
716	51179.05878
717	51164.97232
718	51157.39289
719	51139.91467
720	51127.92884
721	51118.87762
722	51108.77887
723	51097.01559
724	51088.48747
725	51073.49943
726	51065.61641
727	51054.73853
728	51044.05942
729	51029.2996
730	51017.15348
731	50999.34117
732	50990.80706
733	50979.94009
734	50968.26558
735	50962.45641
736	50951.22574
737	50941.25913
738	50931.39028
739	50918.26069
740	50910.05513
741	50898.48437
742	50891.42938
743	50877.5404
744	50864.16363
745	50859.10102
746	50851.45511
747	50846.02056
748	50836.90723
749	50821.23887
750	50813.25806
751	50806.65585
752	50799.6267
753	50791.16423
754	50784.74849
755	50777.10859
756	50765.00603
757	50751.00593
758	50738.09792
759	50729.64275
760	50722.59965
761	50715.40979
762	50705.44248
763	50699.61017
764	50691.06222
765	50678.64127
766	50668.701
767	50664.20902
768	50657.27414
769	50652.82124
770	50645.15536
771	50633.63745
772	50621.83482
773	50617.58635
774	50610.95255
775	50603.52094
776	50598.66376
777	50590.76375
778	50578.29187
779	50568.05394
780	50554.30559
781	50543.30824
782	50535.58138
783	50528.53861
784	50521.5059
785	50510.42423
786	50499.28523
787	50492.06826
788	50482.61572
789	50476.11057
790	50472.18267
791	50463.76794
792	50454.18881
793	50445.62436
794	50436.52234
795	50431.46292
796	50423.63373
797	50417.94178
798	50411.93482
799	50404.75657
800	50399.63074
801	50388.9726
802	50376.76662
803	50368.14758
804	50357.57247
805	50349.60239
806	50340.43383
807	50330.1795
808	50323.27522
809	50317.12893
810	50306.19032
811	50294.69453
812	50286.7142
813	50279.32074
814	50270.04492
815	50260.56622
816	50250.60426
817	50239.3763
818	50232.70659
819	50225.70506
820	50219.33799
821	50207.80089
822	50200.30665
823	50193.98624
824	50184.13075
825	50176.57162
826	50169.11138
827	50162.28097
828	50156.05455
829	50143.57954
830	50136.80345
831	50126.64783
832	50118.75339
833	50109.93083
834	50103.81311
835	50095.5675
836	50087.0341
837	50081.83431
838	50072.70807
839	50062.42569
840	50046.6012
841	50035.08456
842	50025.78142
843	50017.72477
844	50014.07823
845	50008.65234
846	50002.33635
847	49996.92272
848	49993.40264
849	49987.51474
850	49976.45133
851	49967.18554
852	49956.88948
853	49947.32464
854	49940.96015
855	49933.49226
856	49927.7439
857	49918.58309
858	49903.74393
859	49893.24372
860	49886.41058
861	49875.1274
862	49867.42958
863	49856.3824
864	49849.87007
865	49841.30957
866	49827.84638
867	49818.92852
868	49810.4647
869	49806.69485
870	49797.14811
871	49789.11586
872	49782.72855
873	49774.11109
874	49765.2646
875	49758.04908
876	49751.6893
877	49738.37019
878	49730.24091
879	49722.07803
880	49715.48347
881	49707.90974
882	49697.81724
883	49688.82638
884	49680.0654
885	49674.79238
886	49667.81102
887	49658.76878
888	49651.90769
889	49646.44877
890	49638.94712
891	49634.6861
892	49628.38752
893	49614.79817
894	49606.99069
895	49596.5901
896	49582.70118
897	49570.28935
898	49563.0817
899	49557.83941
900	49550.88872
901	49541.25349
902	49532.93716
903	49528.1222
904	49525.32342
905	49519.00488
906	49511.32257
907	49499.7771
908	49494.38196
909	49486.89537
910	49477.96634
911	49466.40829
912	49455.53229
913	49444.08697
914	49431.76642
915	49423.35156
916	49416.68085
917	49407.92582
918	49398.60526
919	49391.72724
920	49379.76258
921	49374.29124
922	49362.13954
923	49353.99287
924	49344.87498
925	49340.93775
926	49333.11036
927	49327.83148
928	49321.52822
929	49314.79043
930	49309.74205
931	49303.11778
932	49294.83137
933	49289.19494
934	49282.04957
935	49273.24243
936	49264.13245
937	49255.52243
938	49248.60532
939	49239.10675
940	49229.97257
941	49218.46465
942	49211.81176
943	49205.73441
944	49199.37449
945	49189.37075
946	49178.00834
947	49170.78026
948	49164.53278
949	49157.22917
950	49150.33142
951	49142.00647
952	49132.75562
953	49128.17809
954	49120.47476
955	49111.75186
956	49108.11336
957	49095.87265
958	49091.92213
959	49081.8223
960	49071.72038
961	49063.55669
962	49056.11761
963	49046.7277
964	49039.19155
965	49030.64891
966	49018.90722
967	49009.81419
968	49005.42135
969	48998.99822
970	48991.68051
971	48982.35658
972	48976.44522
973	48967.817
974	48959.51031
975	48953.82487
976	48946.80377
977	48942.47247
978	48935.11749
979	48924.29152
980	48916.66128
981	48906.18997
982	48896.98435
983	48889.5883
984	48881.34552
985	48873.36715
986	48865.0869
987	48857.36224
988	48850.2161
989	48843.51141
990	48837.28448
991	48828.18398
992	48818.30863
993	48806.71143
994	48790.20844
995	48783.5176
996	48778.45104
997	48772.80834
998	48760.81923
999	48754.17101
