iter	Passed	Remaining
401	6354	9453
402	6367	9432
403	6379	9411
404	6391	9390
405	6402	9367
406	6414	9346
407	6426	9324
408	6438	9303
409	6451	9284
410	6466	9267
411	6480	9249
412	6492	9228
413	6505	9207
414	6515	9184
415	6527	9164
416	6539	9142
417	6554	9125
418	6565	9104
419	6577	9083
420	6590	9063
421	6602	9042
422	6612	9020
423	6624	8999
424	6636	8978
425	6646	8956
426	6659	8936
427	6673	8918
428	6685	8898
429	6696	8876
430	6708	8855
431	6720	8835
432	6732	8815
433	6742	8793
434	6755	8774
435	6767	8754
436	6778	8732
437	6789	8711
438	6801	8692
439	6814	8672
440	6825	8651
441	6836	8631
442	6851	8614
443	6865	8596
444	6878	8579
445	6890	8559
446	6905	8542
447	6920	8526
448	6936	8512
449	6952	8497
450	6972	8488
451	6989	8473
452	7003	8456
453	7019	8442
454	7033	8424
455	7048	8408
456	7065	8395
457	7084	8383
458	7100	8368
459	7114	8351
460	7128	8334
461	7141	8316
462	7152	8295
463	7165	8277
464	7178	8259
465	7192	8241
466	7205	8223
467	7216	8202
468	7228	8183
469	7240	8165
470	7251	8144
471	7263	8125
472	7279	8110
473	7294	8094
474	7306	8075
475	7320	8059
476	7332	8039
477	7347	8023
478	7362	8007
479	7376	7991
480	7399	7984
481	7419	7974
482	7433	7956
483	7453	7946
484	7471	7933
485	7488	7919
486	7504	7905
487	7517	7887
488	7529	7868
489	7541	7849
490	7553	7830
491	7566	7812
492	7581	7797
493	7593	7777
494	7607	7761
495	7621	7744
496	7637	7729
497	7652	7714
498	7670	7700
499	7686	7686
500	7702	7672
501	7717	7656
502	7733	7641
503	7750	7627
504	7764	7610
505	7779	7594
506	7791	7576
507	7803	7558
508	7819	7542
509	7835	7528
510	7849	7511
511	7862	7493
512	7875	7476
513	7886	7456
514	7899	7439
515	7912	7421
516	7929	7408
517	7943	7391
518	7955	7373
519	7968	7355
520	7981	7337
521	7994	7320
522	8007	7303
523	8018	7284
524	8031	7266
525	8044	7249
526	8057	7231
527	8068	7212
528	8086	7199
529	8098	7181
530	8112	7164
531	8126	7149
532	8139	7131
533	8152	7114
534	8163	7095
535	8177	7078
536	8193	7064
537	8206	7047
538	8221	7031
539	8236	7016
540	8249	6999
541	8260	6980
542	8273	6963
543	8287	6946
544	8301	6930
545	8315	6914
546	8329	6898
547	8346	6884
548	8362	6869
549	8377	6854
550	8391	6838
551	8406	6822
552	8422	6808
553	8439	6794
554	8455	6779
555	8470	6764
556	8490	6752
557	8504	6736
558	8519	6720
559	8534	6705
560	8549	6690
561	8564	6674
562	8578	6658
563	8592	6642
564	8608	6628
565	8624	6613
566	8638	6596
567	8664	6589
568	8684	6578
569	8709	6570
570	8730	6559
571	8745	6543
572	8800	6558
573	8950	6643
574	9007	6657
575	9085	6688
576	9104	6674
577	9208	6723
578	9262	6735
579	9319	6748
580	9349	6742
581	9373	6732
582	9422	6739
583	9446	6728
584	9458	6709
585	9470	6691
586	9484	6672
587	9497	6654
588	9515	6639
589	9529	6621
590	9540	6602
591	9554	6584
592	9571	6569
593	9594	6557
594	9605	6538
595	9627	6525
596	9642	6509
597	9661	6494
598	9678	6479
599	9694	6462
600	9718	6451
601	9733	6435
602	9749	6418
603	9764	6401
604	9781	6386
605	9798	6370
606	9817	6356
607	9834	6340
608	9849	6323
609	9864	6306
610	9879	6289
611	9894	6272
612	9907	6254
613	9919	6235
614	9931	6217
615	9943	6198
616	9958	6181
617	9970	6163
618	9981	6143
619	9997	6127
620	10017	6113
621	10035	6098
622	10051	6082
623	10067	6066
624	10085	6051
625	10099	6034
626	10116	6018
627	10134	6003
628	10145	5983
629	10160	5967
630	10176	5951
631	10190	5933
632	10205	5916
633	10218	5899
634	10230	5880
635	10246	5864
636	10259	5846
637	10274	5829
638	10287	5811
639	10301	5794
640	10315	5777
641	10333	5762
642	10347	5745
643	10360	5727
644	10372	5708
645	10387	5692
646	10402	5675
647	10414	5657
648	10426	5638
649	10438	5620
650	10450	5602
651	10463	5584
652	10475	5566
653	10487	5548
654	10499	5530
655	10513	5513
656	10526	5495
657	10537	5476
658	10555	5462
659	10567	5443
660	10582	5427
661	10598	5411
662	10614	5395
663	10629	5378
664	10655	5367
665	10668	5350
666	10679	5331
667	10694	5315
668	10708	5298
669	10723	5281
670	10741	5266
671	10754	5249
672	10767	5231
673	10780	5214
674	10797	5199
675	10814	5183
676	10827	5165
677	10849	5152
678	10864	5136
679	10876	5118
680	10887	5100
681	10902	5083
682	10916	5066
683	10930	5049
684	10952	5036
685	10967	5020
686	10984	5004
687	10996	4987
688	11009	4969
689	11020	4951
690	11035	4934
691	11050	4918
692	11063	4900
693	11075	4883
694	11087	4865
695	11099	4848
696	11111	4830
697	11123	4812
698	11136	4795
699	11148	4777
700	11161	4760
701	11174	4743
702	11187	4726
703	11197	4708
704	11211	4691
705	11224	4674
706	11236	4656
707	11247	4638
708	11260	4621
709	11272	4604
710	11284	4586
711	11295	4569
712	11308	4552
713	11321	4534
714	11333	4517
715	11343	4499
716	11360	4483
717	11377	4468
718	11389	4451
719	11401	4434
720	11413	4416
721	11424	4399
722	11453	4388
723	11589	4418
724	11638	4414
725	11681	4408
726	11700	4393
727	11718	4378
728	11739	4363
729	11762	4350
730	11792	4339
731	11872	4346
732	11921	4342
733	11977	4340
734	12014	4331
735	12062	4326
736	12122	4325
737	12227	4340
738	12242	4323
739	12260	4307
740	12277	4291
741	12296	4275
742	12316	4260
743	12342	4246
744	12368	4233
745	12390	4218
746	12409	4202
747	12428	4187
748	12446	4171
749	12462	4154
750	12476	4136
751	12490	4119
752	12504	4101
753	12517	4083
754	12529	4065
755	12543	4048
756	12555	4030
757	12568	4012
758	12581	3994
759	12597	3978
760	12611	3960
761	12624	3943
762	12638	3925
763	12650	3907
764	12661	3889
765	12674	3871
766	12686	3853
767	12696	3835
768	12708	3817
769	12722	3800
770	12736	3782
771	12748	3765
772	12759	3746
773	12770	3728
774	12785	3711
775	12802	3695
776	12817	3678
777	12829	3660
778	12843	3643
779	12858	3626
780	12869	3608
781	12881	3591
782	12896	3574
783	12908	3556
784	12919	3538
785	12932	3521
786	12946	3503
787	12958	3486
788	12969	3468
789	12981	3450
790	12993	3433
791	13008	3416
792	13024	3399
793	13037	3382
794	13048	3364
795	13061	3347
796	13073	3329
797	13087	3312
798	13099	3295
799	13113	3278
800	13127	3261
801	13140	3244
802	13153	3226
803	13163	3209
804	13176	3191
805	13190	3174
806	13203	3157
807	13213	3139
808	13228	3123
809	13241	3106
810	13257	3089
811	13271	3072
812	13284	3055
813	13295	3037
814	13309	3021
815	13323	3004
816	13340	2988
817	13353	2971
818	13365	2953
819	13376	2936
820	13389	2919
821	13403	2902
822	13419	2886
823	13436	2869
824	13452	2853
825	13470	2837
826	13485	2821
827	13505	2805
828	13523	2789
829	13548	2775
830	13565	2758
831	13581	2742
832	13599	2726
833	13622	2711
834	13647	2696
835	13668	2681
836	13688	2665
837	13710	2650
838	13726	2634
839	13745	2618
840	13765	2602
841	13784	2586
842	13803	2570
843	13826	2555
844	13850	2540
845	13868	2524
846	13895	2510
847	13913	2493
848	13932	2478
849	13952	2462
850	13976	2447
851	13996	2431
852	14014	2415
853	14035	2399
854	14080	2387
855	14109	2373
856	14129	2357
857	14148	2341
858	14179	2327
859	14199	2311
860	14212	2294
861	14237	2279
862	14257	2263
863	14276	2247
864	14294	2230
865	14319	2215
866	14338	2199
867	14354	2182
868	14367	2165
869	14385	2149
870	14399	2132
871	14414	2115
872	14424	2098
873	14438	2081
874	14451	2064
875	14465	2047
876	14475	2030
877	14490	2013
878	14507	1996
879	14521	1980
880	14534	1963
881	14549	1946
882	14564	1929
883	14581	1913
884	14595	1896
885	14612	1880
886	14629	1863
887	14650	1847
888	14669	1831
889	14699	1816
890	14716	1800
891	14734	1783
892	14752	1767
893	14771	1751
894	14793	1735
895	14811	1719
896	14831	1703
897	14855	1687
898	14876	1671
899	14897	1655
900	14922	1639
901	14943	1623
902	14963	1607
903	14987	1591
904	15010	1575
905	15028	1559
906	15046	1542
907	15064	1526
908	15081	1509
909	15104	1493
910	15122	1477
911	15140	1460
912	15157	1444
913	15174	1427
914	15190	1411
915	15206	1394
916	15222	1377
917	15236	1360
918	15249	1344
919	15260	1326
920	15274	1310
921	15288	1293
922	15308	1277
923	15326	1260
924	15339	1243
925	15353	1226
926	15366	1210
927	15378	1193
928	15389	1176
929	15403	1159
930	15417	1142
931	15430	1125
932	15440	1108
933	15453	1092
934	15466	1075
935	15478	1058
936	15489	1041
937	15502	1024
938	15517	1008
939	15529	991
940	15543	974
941	15554	957
942	15568	941
943	15581	924
944	15594	907
945	15606	890
946	15619	874
947	15635	857
948	15652	841
949	15665	824
950	15678	807
951	15691	791
952	15706	774
953	15723	758
954	15735	741
955	15747	724
956	15760	708
957	15772	691
958	15783	674
959	15796	658
960	15811	641
961	15824	625
962	15837	608
963	15848	591
964	15860	575
965	15877	558
966	15894	542
967	15906	525
968	15920	509
969	15935	492
970	15946	476
971	15961	459
972	15975	443
973	15987	426
974	16001	410
975	16013	393
976	16026	377
977	16040	360
978	16052	344
979	16066	327
980	16081	311
981	16101	295
982	16123	278
983	16138	262
984	16154	246
985	16174	229
986	16194	213
987	16214	196
988	16236	180
989	16263	164
990	16287	147
991	16307	131
992	16330	115
993	16348	98
994	16368	82
995	16385	65
996	16406	49
997	16419	32
998	16443	16
999	16461	0
